STOP_SIGNAL_TASK task	01/01/1900 11:08:50	Subject ID: 000055417875	Task type: Scanning	
Trial	Trial Category	Trial Start Time (Onset)	Pre-determined/randomised onset	Go Stimulus Presentation Time 	Stimulus Presented	Delay	Stop Stimulus Presentation Time	Response made by subject	Absolute Response Time	Relative Response Time	Response Outcome	Real Jitter	Pre-determined Jitter	Success Rate of Variable Delay Stop Trials	Scanner Pulse	
99	GO	186506	186506	186509	RightArrow			C	187150	641	GO_SUCCESS	1000.5	1076		187062	
100	GO	188582	188582	188585	RightArrow			C	189302	717	GO_SUCCESS	1070	1018		189262	
101	GO	190600	190600	190604	RightArrow			C	191406	802	GO_SUCCESS	1005.5	801		191462	
102	STOP_VAR	192401	192401	192404	RightArrow	300	192707				STOP_SUCCESS	793.75	1027	50.00	193662	
103	GO	194428	194428	194431	LeftArrow			B	194926	495	GO_SUCCESS	1016.25	843		195862	
104	GO	196271	196271	196274	LeftArrow			B	196654	380	GO_SUCCESS	836.25	840		195862	
105	GO	198111	198111	198114	RightArrow			C	198494	380	GO_SUCCESS	827	969		198115	
106	GO	200080	200080	200083	LeftArrow			B	200462	379	GO_SUCCESS	962.75	1038		200262	
107	GO	202118	202118	202121	LeftArrow			B	202502	381	GO_SUCCESS	1024.5	1082		202470	
108	GO	204200	204200	204203	LeftArrow			B	204630	427	GO_SUCCESS	1075.5	893		204670	
109	STOP_VAR	206093	206093	206096	RightArrow	300	206399				STOP_SUCCESS	880.75	843	52.94	206870	
110	GO	207936	207936	207939	LeftArrow			B	208430	491	GO_SUCCESS	840.25	864		209070	
111	GO	209800	209800	209803	LeftArrow			B	210286	483	GO_SUCCESS	853	1094		211270	
112	GO	211894	211894	211897	LeftArrow			B	212206	309	GO_SUCCESS	1087.5	1014		213470	
113	GO	213908	213908	213911	RightArrow			B	214326	415	GO_WRONG_KEY_RESPONSE	1001.5	739		213470	
114	STOP_VAR	215647	215647	215650	RightArrow	350	216003	C	216070	420	STOP_FAILURE	732.25	857	50.00	215670	
115	GO	217504	217504	217507	LeftArrow			B	218030	523	GO_SUCCESS	1392.75	827		217870	
116	GO	219331	219331	219334	LeftArrow			B	219862	528	GO_SUCCESS	821.25	1033		220070	
117	GO	221364	221364	221367	RightArrow			C	221934	567	GO_SUCCESS	1021.75	805		222270	
118	GO	223169	223169	223172	LeftArrow			B	223542	370	GO_SUCCESS	798.75	718		224478	
119	GO	224887	224887	224890	RightArrow			C	225518	628	GO_SUCCESS	706.5	984		224478	
120	STOP_VAR	226871	226871	226874	LeftArrow	350	227227				STOP_SUCCESS	979	1074	52.63	226875	
121	GO	228945	228945	228948	LeftArrow			B	229390	442	GO_SUCCESS	1066.5	949		228949	
122	GO	230894	230894	230897	RightArrow			C	231262	365	GO_SUCCESS	943.75	985		231078	
123	GO	232879	232879	232882	RightArrow			C	233350	468	GO_SUCCESS	973.75	715		233278	
124	GO	234594	234594	234597	LeftArrow			C	235470	873	GO_WRONG_KEY_RESPONSE	709.25	727		235478	
125	STOP_VAR	236321	236321	236324	RightArrow	400	227227	C	236670	346	STOP_TOO_EARLY_RESPONSE	716.25	707	52.63	235478	
125	STOP_VAR	237225	236321	237229	RightArrow	350	237582	C	237646	417	STOP_FAILURE	1355.25	707	50.00	237678	
126	GO	238242	238028	238246	RightArrow			C	238814	568	GO_SUCCESS	1241.25	1095		239878	
127	GO	240123	240123	240126	LeftArrow			B	240510	384	GO_SUCCESS	1088.25	815		239878	
128	GO	241938	241938	241941	RightArrow			C	242286	345	GO_SUCCESS	803.25	902		242078	
129	GO	243840	243840	243843	RightArrow			C	244262	419	GO_SUCCESS	896.5	1019		244286	
130	GO	245859	245859	245862	RightArrow			C	246446	584	GO_SUCCESS	1007.25	908		246478	
131	GO	247767	247767	247770	RightArrow			C	248214	444	GO_SUCCESS	903	771		248686	
132	GO	249538	249538	249542	RightArrow			C	249974	432	GO_SUCCESS	759.25	1028		250878	
133	STOP_VAR	251566	251566	251569	RightArrow	350	251922	C	251950	381	STOP_FAILURE	1022	775	47.62	250878	
134	GO	253341	253341	253344	RightArrow			C	253670	326	GO_SUCCESS	1310.25	792		253345	
135	GO	255133	255133	255136	RightArrow			C	255494	358	GO_SUCCESS	787	1044		255286	
136	GO	257177	257177	257180	RightArrow			C	257638	458	GO_SUCCESS	1033	802		257486	
137	GO	258979	258979	258982	RightArrow			C	259342	360	GO_SUCCESS	796.5	1045		259686	
138	GO	261024	261024	261027	LeftArrow			B	261670	643	GO_SUCCESS	1034.75	828		261886	
139	GO	262852	262852	262855	LeftArrow			B	263302	447	GO_SUCCESS	823	999		264086	
140	STOP_VAR	264851	264851	264854	LeftArrow	300	265157				STOP_SUCCESS	988.25	753	50.00	266286	
141	GO	266604	266604	266607	RightArrow			C	266982	375	GO_SUCCESS	750.75	938		266286	
142	GO	268542	268542	268545	RightArrow			C	268926	381	GO_SUCCESS	926.5	861		268546	
143	GO	270403	270403	270406	RightArrow			C	270806	400	GO_SUCCESS	854.75	1066		270686	
144	GO	272469	272469	272472	LeftArrow			B	272950	478	GO_SUCCESS	1054.5	837		272894	
145	STOP_VAR	274306	274306	274309	LeftArrow	300	274612	B	274742	433	STOP_FAILURE	831.75	1089	47.83	275086	
146	GO	276395	276395	276398	RightArrow			C	276702	304	GO_SUCCESS	1473.75	725		277294	
147	GO	278120	278120	278123	RightArrow			C	278566	443	GO_SUCCESS	719.75	1082		279486	
148	GO	280202	280202	280205	RightArrow			C	280695	490	GO_SUCCESS	1071.5	712		281694	
149	STOP_VAR	281914	281914	281917	LeftArrow	250	282170				STOP_SUCCESS	707	789	50.00	281694	
150	GO	283703	283703	283706	RightArrow			C	284078	372	GO_SUCCESS	781.75	941		283894	
151	GO	285644	285644	285647	LeftArrow			B	286142	495	GO_SUCCESS	935.75	795		286094	
152	GO	287439	287439	287442	RightArrow			C	287734	292	GO_SUCCESS	784.25	875		288293	
153	GO	289314	289314	289317	RightArrow			C	289750	433	GO_SUCCESS	869.25	729		290493	
154	STOP_VAR	291043	291043	291046	RightArrow	250	291299	C	291446	400	STOP_FAILURE	718.75	701	48.00	290493	
155	GO	292744	292744	292747	LeftArrow			B	293142	395	GO_SUCCESS	1140.75	768		292748	
156	GO	294512	294512	294515	LeftArrow			B	295198	683	GO_SUCCESS	758	916		294894	
157	GO	296428	296428	296432	RightArrow			C	296966	534	GO_SUCCESS	911	1012		297101	
158	STOP_VAR	298440	298440	298443	LeftArrow	200	298646				STOP_SUCCESS	1001	815	50.00	299293	
159	GO	300255	300255	300258	LeftArrow			B	300878	620	GO_SUCCESS	812.25	833		301501	
160	GO	302088	302088	302091	RightArrow			C	302486	395	GO_SUCCESS	822.75	975		303701	
161	GO	304063	304063	304066	LeftArrow			B	304398	332	GO_SUCCESS	969.25	922		303701	
162	GO	305985	305985	305988	RightArrow			C	306414	426	GO_SUCCESS	911.5	879		305989	
163	GO	307864	307864	307867	LeftArrow			B	308214	347	GO_SUCCESS	873.25	974		308101	
164	GO	309838	309838	309841	LeftArrow			B	310286	445	GO_SUCCESS	963.5	1036		310301	
165	GO	311874	311874	311877	RightArrow			C	312302	425	GO_SUCCESS	1031	792		312501	
166	STOP_VAR	313666	313666	313669	LeftArrow	200	313872	B	313990	321	STOP_FAILURE	781	765	48.15	314701	
167	GO	315431	315431	315434	LeftArrow			B	315870	436	GO_SUCCESS	1254.75	938		316901	
168	GO	317369	317369	317372	LeftArrow			B	317797	425	GO_SUCCESS	927.5	1048		319102	
169	GO	319417	319417	319420	LeftArrow			B	319798	378	GO_SUCCESS	1042	914		319102	
170	GO	321331	321331	321334	RightArrow			C	321949	615	GO_SUCCESS	903.5	724		321335	
171	GO	323055	323055	323058	LeftArrow			B	323493	435	GO_SUCCESS	718	1089		323509	
172	STOP_VAR	325144	325144	325147	LeftArrow	150	325300				STOP_SUCCESS	1077.75	1078	50.00	325709	
173	GO	327222	327222	327225	LeftArrow			B	327701	476	GO_SUCCESS	1075.5	819		327909	
174	GO	329041	329041	329044	LeftArrow			B	329365	321	GO_SUCCESS	807.25	931		330109	
175	GO	330972	330972	330975	LeftArrow			B	331501	526	GO_SUCCESS	924.25	835		332309	
176	GO	332807	332807	332810	LeftArrow			B	333165	355	GO_SUCCESS	823.25	787		332309	
177	STOP_VAR	334594	334594	334597	RightArrow	150	334750				STOP_SUCCESS	780.25	1020	51.72	334598	
178	GO	336614	336614	336617	LeftArrow			B	337069	452	GO_SUCCESS	1013	978		336709	
179	GO	338592	338592	338595	RightArrow			B	338925	330	GO_WRONG_KEY_RESPONSE	971.5	738		338909	
180	GO	340330	340330	340333	RightArrow			C	340749	416	GO_SUCCESS	726.5	1082		341109	
181	GO	342412	342412	342415	LeftArrow			B	342837	422	GO_SUCCESS	1075.5	712		343317	
182	STOP_VAR	344124	344124	344127	LeftArrow	200	344330				STOP_SUCCESS	701	803	53.33	345509	
183	GO	345927	345927	345931	RightArrow			C	346301	370	GO_SUCCESS	800.25	812		345509	
184	GO	347739	347739	347742	RightArrow			C	348141	399	GO_SUCCESS	800	778		347743	
185	GO	349517	349517	349520	LeftArrow			B	349917	397	GO_SUCCESS	771.5	812		349917	
186	GO	351329	351329	351332	LeftArrow			B	351749	417	GO_SUCCESS	801	997		352117	
187	GO	353326	353326	353329	RightArrow			C	353717	388	GO_SUCCESS	990.75	999		354317	
188	STOP_VAR	355325	355325	355328	LeftArrow	250	355581	B	355717	389	STOP_FAILURE	987.25	774	51.61	354317	
189	GO	357099	357099	357102	RightArrow			C	357453	351	GO_SUCCESS	1213.5	723		357103	
190	GO	358822	358822	358825	RightArrow			C	359245	420	GO_SUCCESS	711.25	827		358826	
191	GO	360649	360649	360652	RightArrow			C	361021	369	GO_SUCCESS	820.25	891		360917	
192	GO	362540	362540	362543	LeftArrow			B	362949	406	GO_SUCCESS	879.25	929		363117	
193	STOP_VAR	364469	364469	364472	RightArrow	300	364775	C	364885	413	STOP_FAILURE	922.75	1096	50.00	365317	
194	GO	366565	366565	366568	RightArrow			C	366933	365	GO_SUCCESS	1480	724		367517	
195	GO	368289	368289	368292	RightArrow			C	368709	417	GO_SUCCESS	718	932		369717	
196	GO	370221	370221	370224	RightArrow			C	370669	445	GO_SUCCESS	921	758		369717	
197	GO	371979	371979	371982	LeftArrow			B	372685	703	GO_SUCCESS	751.5	987		371983	
198	STOP_VAR	373966	373966	373969	RightArrow	300	374272				STOP_SUCCESS	975.25	730	51.52	374117	
199	GO	375696	375696	375699	RightArrow			C	376181	482	GO_SUCCESS	727.5	744		376325	
200	GO	377440	377440	377443	RightArrow			C	377885	442	GO_SUCCESS	733	1024		378517	
201	GO	379464	379464	379467	RightArrow			C	379813	346	GO_SUCCESS	1018	887		380725	
202	GO	381351	381351	381354	RightArrow			C	381701	347	GO_SUCCESS	875.25	734		380725	
203	GO	383085	383085	383089	LeftArrow			B	383445	356	GO_SUCCESS	728.5	899		382925	
204	GO	384984	384984	384987	LeftArrow			B	385645	658	GO_SUCCESS	886.25	765		385125	
205	STOP_VAR	386749	386749	386752	RightArrow	350	387105	C	387109	357	STOP_FAILURE	759.75	952	50.00	387325	
206	GO	388701	388701	388704	RightArrow			C	388997	293	GO_SUCCESS	1488	818		389525	
207	GO	390519	390519	390522	RightArrow			C	390949	427	GO_SUCCESS	812.5	755		391725	
208	GO	392274	392274	392277	RightArrow			C	392637	360	GO_SUCCESS	743.25	899		393925	
209	GO	394173	394173	394176	RightArrow			C	394517	341	GO_SUCCESS	893.25	966		393925	
210	GO	396139	396139	396142	RightArrow			C	396397	255	GO_SUCCESS	954.5	1081		396143	
211	STOP_VAR	398220	398220	398223	LeftArrow	350	398576	B	398701	478	STOP_FAILURE	1075.75	997	48.57	398325	
212	GO	400217	400217	400220	RightArrow			C	400549	329	GO_SUCCESS	1330.75	733		400533	
213	GO	401950	401950	401953	RightArrow			C	402373	420	GO_SUCCESS	727.75	776		402733	
214	GO	403726	403726	403729	RightArrow			C	404141	412	GO_SUCCESS	765	851		404933	
215	GO	405577	405577	405580	LeftArrow			B	406149	569	GO_SUCCESS	845.25	962		407133	
216	STOP_VAR	407539	407539	407542	RightArrow	300	407845	C	407990	448	STOP_FAILURE	950.5	819	47.22	407133	
217	GO	409358	409358	409361	RightArrow			C	409757	396	GO_SUCCESS	1208.25	767		409362	
218	GO	411125	411125	411128	LeftArrow			B	411701	573	GO_SUCCESS	755.25	895		411533	
219	GO	413020	413020	413023	LeftArrow			B	413565	542	GO_SUCCESS	889.25	923		413733	
